idx,code,name,lat,lon,kind,wikidata,source_url
342,rtwp,rotterdam wilgenplas,51.960833,4.462222,station,Q14387332,https://nl.wikipedia.org/wiki/Station_Rotterdam_Wilgenplas
350,sdn,soestduinen,52.145000,5.299167,station,Q2549510,https://nl.wikipedia.org/wiki/Station_Soestduinen
358,smo,schiermonnikoog,53.489167,6.202222,island,Q208011,https://nl.wikipedia.org/wiki/Schiermonnikoog
361,spm,sappemeer oost,53.158889,6.795833,station,Q47267,https://nl.wikipedia.org/wiki/Station_Sappemeer_Oost
364,spv,simpelveld,50.831389,5.978056,station,Q2125635,https://nl.wikipedia.org/wiki/Station_Simpelveld
375,tbwt,tilburg west,51.565278,5.051389,station,Q970524,https://nl.wikipedia.org/wiki/Station_Tilburg_Universiteit
378,tnz,terneuzen,51.329614,3.825667,station,Q1984118,https://nl.wikipedia.org/wiki/Station_Terneuzen
379,troisp,troisponts (b),50.369125,5.873181,station,Q2256421,https://nl.wikipedia.org/wiki/Station_Trois-Ponts
380,tsl,terschelling,53.401111,5.331389,island,Q204412,https://nl.wikipedia.org/wiki/Terschelling
381,tx,texel,53.085931,4.813936,island,Q9966,https://nl.wikipedia.org/wiki/Texel
382,ud,uden,51.655000,5.620833,station,Q2481207,https://nl.wikipedia.org/wiki/Station_Uden
385,urk,urk,52.661667,5.600000,island,Q273746,https://nl.wikipedia.org/wiki/Urk
391,uts,utrecht streekbushaltes,52.089316,5.109972,station,Q575655,https://nl.wikipedia.org/wiki/Station_Utrecht_Centraal
392,v,kleve (d),51.789558,6.146203,station,Q2376465,https://de.wikipedia.org/wiki/Bahnhof_Kleve
394,vbl,voorburg 't loo,52.082222,4.365833,station,Q7941698,https://nl.wikipedia.org/wiki/Voorburg_%27t_Loo_(metro-_en_sneltramhalte)
396,vdg,vlaardingen centrum,51.903056,4.344167,station,Q1963260,https://nl.wikipedia.org/wiki/Vlaardingen_Centrum_(metrostation)
398,vdo,vlaardingen oost,51.910000,4.361667,station,Q2578105,https://nl.wikipedia.org/wiki/Vlaardingen_Oost_(metrostation)
399,vdw,vlaardingen west,51.903889,4.314167,station,Q7938137,https://nl.wikipedia.org/wiki/Vlaardingen_West_(metrostation)
406,vld,vlieland,53.258333,4.955833,island,Q207851,https://nl.wikipedia.org/wiki/Vlieland
411,vryb,venray busstation,51.526389,6.014167,station,Q2515711,https://nl.wikipedia.org/wiki/Station_Venray
417,vv,visvliet,53.256203,6.247703,station,Q2248842,https://nl.wikipedia.org/wiki/Station_Visvliet
418,vwd,veenwouden,53.235278,5.989722,station,Q426233,https://nl.wikipedia.org/wiki/Station_Feanw%C3%A2lden
429,willin,willingen (d),51.293333,8.603056,station,Q92914573,https://de.wikipedia.org/wiki/Bahnhof_Willingen
430,witten,witten (d),51.435556,7.329722,station,Q470060,https://de.wikipedia.org/wiki/Witten_Hauptbahnhof
