idx,code,name,lat,lon,match,source_code
246,lkr,lokeren (b),51.281610,4.434123,code,LKR
247,lls,lelystad centrum,52.507778,5.472778,code,LLS
249,lp,loppersum,53.334714,6.747262,code,LP
250,ltn,lunteren,52.085278,5.624444,code,LTN
251,ltv,lichtenvoorde-groenlo,52.011880,6.596410,code,LTV
252,luik,luik (b),50.624360,5.566480,code,LUIK
253,lut,geleen-lutterade,50.975555,5.824722,code,LUT
255,lw,leeuwarden,53.195835,5.792222,code,LW
257,mas,maarssen,52.135277,5.033611,code,MAS
258,mcgb,moenchen-gladbach (d),51.196583,6.446111,code,MCGB
260,mdb,middelburg,51.494720,3.617222,code,MDB
261,mech,mechelen (b),51.017580,4.483130,code,MECH
262,mes,meerssen,50.882879,5.750999,code,MES
264,mg,mantgum,53.129637,5.713200,code,MG
265,minden,minden (d),52.290138,8.934728,code,MINDEN
267,mp,meppel,52.690834,6.197500,code,MP
268,mrb,marienberg,52.509445,6.575278,code,MRB
269,mrn,maarn,52.064167,5.370000,code,MRN
272,mt,maastricht,50.850277,5.705555,code,MT
273,mth,martenshoek,53.160723,6.740299,code,MTH
274,mtr,maastricht randwyck,50.838612,5.717222,code,MTR
275,na,nieuw amsterdam,52.718613,6.848611,code,NA
276,ndb,naarden-bussum,52.280277,5.156944,code,NDB
277,neuss,neuss (d),51.204440,6.684680,code,NEUSS
278,nh,nuth,50.919445,5.892778,code,NH
280,nkk,nijkerk,52.222221,5.493889,code,NKK
281,nm,nijmegen,51.843613,5.852222,code,NM
282,nmd,nijmegen dukenburg,51.824165,5.795556,code,NMD
283,nmh,nijmegen heyendaal,51.826946,5.867500,code,NMH
284,ns,nunspeet,52.370834,5.785278,code,NS
285,nsch,nieuweschans,53.184400,7.199370,code,NSCH
286,nvd,nijverdal,52.366111,6.462000,code,NVD
287,nvp,nieuw vennep,52.258888,4.645555,code,NVP
288,nwk,nieuwerkerk a d ijssel,51.965279,4.616944,code,NWK
290,o,oss,51.765556,5.532222,code,O
291,obd,obdam,52.678055,4.907222,code,OBD
292,oberh,oberhausen (d),51.475120,6.852038,code,OBERH
293,odb,oudenbosch,51.587776,4.533333,code,ODB
294,odz,oldenzaal,52.306389,6.934722,code,ODZ
295,oeynh,bad oeynhausen (d),52.205461,8.796932,code,OEYNH
297,omn,ommen,52.509445,6.415833,code,OMN
302,op,opheusden,51.926161,5.637115,code,OP
303,osnh,osnabruck hbf (d),52.272851,8.061781,code,OSNH
304,ost,olst,52.334721,6.113056,code,OST
305,ot,oisterwijk,51.582222,5.194167,code,OT
306,otb,oosterbeek,51.994999,5.840000,code,OTB
307,ovn,overveen,52.391109,4.606111,code,OVN
308,ow,oss west,51.758057,5.505556,code,OW
309,paris,paris nord (f),48.879770,2.355750,code,PARIS
310,pmo,purmerend overwhere,52.511391,4.968333,code,PMO
311,pmr,purmerend,52.503056,4.953611,code,PMR
314,pt,putten,52.264999,5.575278,code,PT
316,rai,amsterdam rai,52.337223,4.890278,code,RAI
317,rat,raalte,52.391666,6.277500,code,RAT
318,rb,rilland-bath,51.422779,4.161111,code,RB
319,rd,roodeschool,53.421262,6.758700,code,RD
324,rh,rheden,52.010100,6.031400,code,RH
325,rheine,rheine (d),52.276299,7.434255,code,RHEINE
327,rhn,rhenen,51.958611,5.578333,code,RHN
328,rl,ruurlo,52.081089,6.449266,code,RL
329,rlb,rotterdam lombardijen,51.880001,4.531389,code,RLB
330,rm,roermond,51.193054,5.994167,code,RM
331,rs,rosmalen,51.714722,5.368055,code,RS
332,rsd,roosendaal,51.540279,4.458333,code,RSD
333,rsn,rijssen,52.312222,6.520278,code,RSN
334,rsw,rijswijk,52.039722,4.319167,code,RSW
335,rta,rotterdam alexander,51.951946,4.553611,code,RTA
336,rtb,rotterdam blaak,51.920277,4.488889,code,RTB
338,rtd,rotterdam cs,51.924999,4.468889,code,RTD
341,rtn,rotterdam noord,51.942223,4.481667,code,RTN
343,rtz,rotterdam zuid,51.904446,4.510278,code,RTZ
344,rv,reuver,51.283219,6.078959,code,RV
345,rvs,ravenstein,51.794167,5.635833,code,RVS
346,sbk,spaubeek,50.943270,5.850529,code,SBK
347,sd,soestdijk,52.183613,5.300000,code,SD
348,sda,scheemda,53.165536,6.977778,code,SDA
349,sdm,schiedam-rotterdam west,51.921244,4.408994,code,SDM
351,sdt,sliedrecht,51.829723,4.778333,code,SDT
352,sgl,houthem-st gerlach,50.873333,5.797222,code,SGL
353,sgn,schagen,52.784443,4.805278,code,SGN
354,shl,schiphol,52.309444,4.761944,code,SHL
355,sk,sneek,53.032869,5.652397,code,SK
356,sknd,sneek noord,53.040932,5.663181,code,SKND
357,sm,swalmen,51.235820,6.032280,code,SM
359,sn,schinnen,50.939167,5.874444,code,SN
360,sog,schin op geul,50.856388,5.872222,code,SOG
362,sptn,santpoort noord,52.433887,4.632500,code,SPTN
363,sptz,santpoort zuid,52.419724,4.631389,code,SPTZ
365,srn,susteren,51.061390,5.863056,code,SRN
366,st,soest,52.173332,5.310000,code,ST
367,std,sittard,51.001667,5.858611,code,STD
368,stm,stedum,53.326209,6.687555,code,STM
369,stv,stavoren,52.886553,5.360021,code,STV
370,stz,soest zuid,52.165279,5.303056,code,STZ
371,swd,sauwerd,53.291130,6.540400,code,SWD
372,swk,steenwijk,52.791511,6.114556,code,SWK
373,tb,tilburg,51.560555,5.083611,code,TB
374,tbg,terborg,51.922455,6.364247,code,TBG
376,tg,tegelen,51.338940,6.142530,code,TG
377,tl,tiel,51.889446,5.422222,code,TL
383,uhm,uithuizermeeden,53.414584,6.720298,code,UHM
384,uhz,uithuizen,53.409957,6.674887,code,UHZ
386,ust,usquert,53.401474,6.609378,code,UST
387,ut,utrecht cs,52.088890,5.110278,code,UT
388,utg,uitgeest,52.521667,4.701667,code,UTG
389,utl,utrecht lunetten,52.065556,5.144166,name,UTLN
390,uto,utrecht overvecht,52.110001,5.124722,code,UTO
393,vb,voorburg,52.066666,4.359445,code,VB
395,vd,vorden,52.107195,6.317046,code,VD
397,vdl,voerendaal,50.887222,5.930278,code,VDL
400,vg,vught,51.655556,5.291945,code,VG
401,vhp,vroomshoop,52.457192,6.569668,code,VHP
402,viers,viersen (d),51.255160,6.403880,code,VIERS
403,vk,valkenburg,50.869720,5.832222,code,VK
404,vl,venlo,51.363609,6.172778,code,VL
405,vlb,vierlingsbeek,51.591930,5.997140,code,VLB
407,vndc,veenendaal centrum,52.020000,5.548611,code,VNDC
408,vndw,veenendaal west,52.028057,5.531389,code,VNDW
409,vp,velp,51.994720,5.980278,code,VP
410,vry,venray,51.526568,6.014178,code,VRY
412,vs,vlissingen,51.445835,3.595278,code,VS
413,vss,vlissingen souburg,51.464722,3.595278,code,VSS
414,vst,voorschoten,52.125278,4.432500,code,VST
415,vsv,varsseveld,51.937257,6.458839,code,VSV
416,vtn,vleuten,52.103056,5.007404,code,VTN
419,vz,vriezenveen,52.402030,6.600410,code,VZ
420,wad,waddinxveen,52.044167,4.649722,code,WAD
421,wadn,waddinxveen noord,52.055000,4.648334,code,WADN
422,wc,wijchen,51.811668,5.730834,code,WC
423,wd,woerden,52.084999,4.893611,code,WD
424,wdn,wierden,52.361389,6.591667,code,WDN
425,wesel,wesel (d),51.655833,6.627222,code,WESEL
426,wf,wolfheze,52.005554,5.793611,code,WF
427,wfm,warffum,53.390843,6.567136,code,WFM
428,wh,wijhe,52.390278,6.140555,code,WH
431,wk,workum,52.972486,5.456429,code,WK
432,wl,wehl,51.957806,6.213844,code,WL
433,wm,wormerveer,52.489166,4.792222,code,WM
434,wp,weesp,52.312778,5.043056,code,WP
435,wr,weener (d),53.163110,7.344200,code,WR
436,ws,winschoten,53.139238,7.035101,code,WS
437,wsm,winsum,53.330099,6.520290,code,WSM
438,wt,weert,51.248611,5.703611,code,WT
439,wv,wolvega,52.880833,6.003611,code,WV
440,ww,winterswijk,51.967731,6.715518,code,WW
441,wz,wezep,52.454166,6.002500,code,WZ
442,yt,ijlst,53.014661,5.616080,name,IJT
443,za,zetten-andelst,51.920056,5.722841,code,ZA
444,zb,zuidbroek,53.159612,6.867914,code,ZB
445,zbm,zaltbommel,51.808887,5.263333,code,ZBM
447,zd,zaandam,52.438889,4.813611,code,ZD
448,zdk,zaandam kogerveld,52.456665,4.820278,code,ZDK
449,zh,zuidhorn,53.248629,6.406236,code,ZH
450,zl,zwolle,52.504723,6.091944,code,ZL
451,zlw,lage zwaluwe,51.691113,4.663055,code,ZLW
452,zp,zutphen,52.145279,6.194167,code,ZP
454,ztm,zoetermeer,52.047501,4.477222,code,ZTM
459,ztmo,zoetermeer oost,52.046391,4.492778,code,ZTMO
463,zv,zevenaar,51.923054,6.071944,code,ZV
464,zvb,zevenbergen,51.640420,4.609040,code,ZVB
465,zvt,zandvoort aan zee,52.375278,4.532778,code,ZVT
466,zwd,zwijndrecht,51.814999,4.641667,code,ZWD
